time,open,high,low,close,Buy,Sell,LinReg Candles (Open),LinReg Candles (High,LinReg Candles (Low),LinReg Candles (Close),LinReg Candles (Open),LinReg Candles (High,LinReg Candles (Low),LinReg Candles (Close),Plot,Volume
2026-02-04T13:03:00+05:30,25708.920699686867,25716.65,25708.920699686867,25711.862500000003,0,0,,,,,25707.68251297342,25711.36974479903,25703.661131718534,25707.123863636363,25709.97134740254,903319
2026-02-04T13:04:00+05:30,25710.391599843435,25718.25,25709.35,25713.574999999997,0,0,25707.4031883049,25712.776934587895,25704.94428173279,25708.43579545454,,,,,25709.02881493501,817140
2026-02-04T13:05:00+05:30,25711.983299921718,25720.5,25711.983299921718,25717.887499999997,0,0,25707.919491879715,25714.831531590462,25706.626663540283,25711.07897727273,,,,,25708.627516233708,585702
2026-02-04T13:06:00+05:30,25714.935399960857,25721.5,25714.935399960857,25719.5,0,0,25709.499234576215,25717.286936819113,25709.49683627288,25714.217045454545,,,,,25709.037499999944,515882
2026-02-04T13:07:00+05:30,25717.21769998043,25725.35,25717.21769998043,25722.337499999998,1,0,25711.8581400154,25720.790069320497,25713.21885901353,25718.05340909089,,,,,25710.32719155838,827372
2026-02-04T13:08:00+05:30,25719.777599990215,25733.7,25719.777599990215,25728.2625,0,0,25714.95577455317,25726.606838185497,25717.386409030878,25723.397159090902,,,,,25712.665746753188,847675
2026-02-04T13:09:00+05:30,25724.02004999511,25738.1,25724.02004999511,25734.1625,0,0,25719.176466822028,25732.70313250138,25721.854847686565,25729.389772727278,,,,,25715.95657467526,643916
2026-02-04T13:10:00+05:30,25729.091274997554,25735.6,25729.091274997554,25732.7875,0,0,25724.283119774664,25736.636363636357,25725.82458293421,25733.04886363635,,,,,25719.660146103834,453549
2026-02-04T13:11:00+05:30,25730.939387498776,25733.75,25728.8,25731.4375,0,0,25728.665991705497,25738.37727272726,25729.02703636452,25735.086363636357,,,,,25723.46737012981,627385
2026-02-04T13:12:00+05:30,25731.188443749386,25738.65,25731.188443749386,25735.225,0,0,25731.876177670936,25740.363636363632,25731.548540078755,25737.2096590909,,,,,25727.20032467526,499075
2026-02-04T13:13:00+05:30,25733.206721874692,25739.6,25733.206721874692,25737.7875,0,0,25734.54291838092,25741.8340909091,25734.15138484424,25739.314772727284,,,,,25730.785714285652,484368
2026-02-04T13:14:00+05:30,25735.497110937344,25740.95,25734.4,25737.6,0,0,25736.928845554103,25743.270454545458,25736.332821598364,25740.48863636364,,,,,25733.990746753185,577331
2026-02-04T13:15:00+05:30,25736.54855546867,25744,25735.9,25738.4125,0,0,25738.70874095889,25744.863636363625,25737.911435667902,25741.0625,,,,,25736.514366883057,534931
2026-02-04T13:16:00+05:30,25737.480527734333,25740,25734.25,25736.65,0,0,25739.88562047942,25744.422727272737,25738.237013359565,25740.730681818182,,,,,25738.134496753188,695469
2026-02-04T13:17:00+05:30,25737.065263867167,25737.065263867167,25731.65,25734.125,0,0,,,,,25740.308151148827,25742.343493048644,25737.259941054817,25739.035795454536,25738.989772727215,674015
2026-02-04T13:18:00+05:30,25735.595131933584,25737.7,25731.95,25733.9625,0,0,,,,,25739.671973301683,25740.458708327395,25736.0335323882,25737.140340909078,25739.283198051886,633526
2026-02-04T13:19:00+05:30,25734.77881596679,25735.2,25727.85,25732.45,0,0,,,,,25738.40615710539,25738.73528724252,25733.298364631562,25735.312500000004,25739.012175324617,579169
2026-02-04T13:20:00+05:30,25733.614407983398,25740.8,25733.614407983398,25737.375,0,0,,,,,25736.859328552706,25739.525502521297,25732.801753960997,25735.93409090909,25738.529220779164,600987
2026-02-04T13:21:00+05:30,25735.4947039917,25740.1,25735.2,25737.1,0,0,,,,,25736.396709730892,25739.51571780006,25733.295583569405,25736.0721590909,25737.898295454484,451746
2026-02-04T13:22:00+05:30,25736.297351995847,25745,25734.8,25740.0625,0,0,25736.2344344109,25740.524114897024,25733.331512041797,25736.71136363636,,,,,25737.27670454539,604001
2026-02-04T13:23:00+05:30,25738.179925997923,25751.3,25738.179925997923,25747.175,0,0,25736.47289902363,25743.91660290305,25734.604406740676,25739.910227272732,,,,,25737.159496753186,645042
2026-02-04T13:24:00+05:30,25742.67746299896,25752.2,25742.67746299896,25750.200000000004,0,0,25738.191563148168,25747.193181818177,25737.357500951384,25743.994318181823,,,,,25737.867857142795,527438
2026-02-04T13:25:00+05:30,25746.438731499482,25754.4,25746.438731499482,25751.6875,0,0,25741.092940665014,25750.842488006052,25741.093833838473,25747.95340909092,,,,,25739.412581168774,707879
2026-02-04T13:26:00+05:30,25749.06311574974,25756.5,25749.06311574974,25753.9,0,0,25744.523174877962,25755.103157830265,25745.390710282492,25752.12386363637,,,,,25741.814204545397,630745
2026-02-04T13:27:00+05:30,25751.48155787487,25757.4,25751.1,25754.137500000004,0,0,25748.32351925716,25758.35473674539,25749.43736281752,25755.34545454547,,,,,25744.58725649345,576847
2026-02-04T13:28:00+05:30,25752.80952893744,25757.5,25752.80952893744,25755.550000000003,0,0,25751.8344869013,25760.313636363648,25752.78932001446,25757.762499999997,,,,,25747.68587662332,466668
2026-02-04T13:29:00+05:30,25754.17976446872,25759.25,25754.17976446872,25757.0625,0,0,25754.798493450642,25762.01590909092,25755.67000992874,25759.657386363637,,,,,25750.963879870073,769011
2026-02-04T13:30:00+05:30,25755.62113223436,25763.85,25755.62113223436,25760.5125,0,0,25757.227939907145,25763.747727272716,25757.253418474407,25761.324999999997,,,,,25754.023133116825,654075
2026-02-04T13:31:00+05:30,25758.066816117178,25764.15,25757.85,25762.187500000004,0,0,25759.276469953587,25765.2909090909,25759.33176220457,25763.145454545454,,,,,25756.7590097402,532001
2026-02-04T13:32:00+05:30,25760.12715805859,25768.9,25760.12715805859,25765.550000000003,0,0,25761.210962249523,25767.156818181822,25761.321327864734,25764.857954545452,,,,,25759.173944805134,852695
2026-02-04T13:33:00+05:30,25762.838579029296,25767.1,25757.25,25762.25,0,0,25763.034458397487,25768.03181818181,25761.189654230846,25764.765909090915,,,,,25760.97995129864,781761
2026-02-04T13:34:00+05:30,25762.544289514648,25765.25,25757.05,25761.1875,0,0,25763.900183744205,25768.4590909091,25760.588421687506,25764.620454545453,,,,,25762.30495129864,734616
2026-02-04T13:35:00+05:30,25761.865894757324,25770.15,25760.2,25763.725,0,0,25764.260319144825,25769.975000000006,25760.94946523517,25765.195454545476,,,,,25763.366801947992,1072195
2026-02-04T13:36:00+05:30,25762.79544737866,25764.75,25757.45,25761.800000000003,0,0,25764.727886845132,25769.356818181815,25760.32289682833,25764.81363636363,,,,,25764.103409090843,503884
2026-02-04T13:37:00+05:30,25762.29772368933,25766.35,25762.29772368933,25764.825,0,0,25764.770761604388,25769.159090909103,25761.21543452721,25765.336931818176,,,,,25764.676542207733,546871
2026-02-04T13:38:00+05:30,25763.561361844666,25767.9,25762.75,25765.075,0,0,25765.05384671129,25769.170454545452,25762.020647827747,25765.48636363635,,,,,25765.010957792143,571048
2026-02-04T13:39:00+05:30,25764.31818092233,25772.5,25763.55,25767.75,0,0,25765.270105173826,25770.186363636352,25762.861684571442,25766.246590909082,,,,,25765.209334415522,501412
2026-02-04T13:40:00+05:30,25766.034090461166,25772.4,25766.034090461166,25770.75,0,0,25765.75834804146,25770.806818181827,25764.254044237445,25767.6818181818,,,,,25765.62589285708,517398
2026-02-04T13:41:00+05:30,25768.392045230583,25772.45,25767.25,25770.525,0,0,25766.72008311163,25771.681818181813,25765.756518078077,25769.050568181796,,,,,25766.258766233695,789604
2026-02-04T13:42:00+05:30,25769.458522615292,25772.7,25767.85,25770.899999999998,0,0,25767.885325646726,25772.300000000014,25767.326564795854,25770.38806818181,,,,,25767.000568181742,436232
2026-02-04T13:43:00+05:30,25770.179261307647,25772.6,25767.85,25770.637499999997,0,0,25769.13669691429,25773.361363636377,25768.856094796993,25771.85738636363,,,,,25768.006818181744,628672
2026-02-04T13:44:00+05:30,25770.408380653822,25772.2,25768.65,25770.3125,0,0,25770.497041638948,25773.799999999992,25769.766012335593,25772.392045454548,,,,,25769.01469155837,600393
2026-02-04T13:45:00+05:30,25770.360440326913,25772.55,25765,25768.475,0,0,25771.44454354675,25773.7818181818,25768.96002078332,25771.782386363637,,,,,25769.91412337655,542111
2026-02-04T13:46:00+05:30,25769.417720163456,25770.7,25765.4,25767.487500000003,0,0,,,,,25771.613464955168,25773.73409090909,25768.49266559465,25770.98863636364,25770.59155844149,526649
2026-02-04T13:47:00+05:30,25768.45261008173,25769.5,25763.15,25766.3375,0,0,,,,,25771.30105065944,25772.29772727273,25766.57303767871,25769.307954545442,25770.8238636363,578850
2026-02-04T13:48:00+05:30,25767.395055040866,25771.05,25762.45,25766.8625,0,0,,,,,25770.30450260244,25771.42954545455,25765.052995888127,25768.138068181805,25770.69350649344,615057
2026-02-04T13:49:00+05:30,25767.128777520433,25771.35,25762.55,25766.9625,0,0,,,,,25769.221285392134,25770.72500000001,25763.64008268537,25766.952840909085,25770.202759740194,571811
2026-02-04T13:50:00+05:30,25767.045638760217,25767.045638760217,25761,25763.675,0,0,,,,,25768.087063150608,25769.330430514612,25761.88853311895,25765.1221590909,25769.240584415522,687279
2026-02-04T13:51:00+05:30,25765.36031938011,25774.55,25762.15,25767.987500000003,0,0,,,,,25766.604611120765,25770.553356025503,25761.07045454545,25765.39431818184,25768.240909090848,747001
2026-02-04T13:52:00+05:30,25766.673909690056,25783.5,25766.673909690056,25777.987500000003,0,0,25765.999464651275,25774.5353724455,25762.089425810474,25768.932954545475,,,,,25767.83384740254,865470
2026-02-04T13:53:00+05:30,25772.33070484503,25785.7,25772.33070484503,25782.8875,0,0,25767.466209598362,25778.760570683688,25765.04356327525,25773.759659090912,,,,,25768.229707792147,586768
2026-02-04T13:54:00+05:30,25777.609102422517,25787.1,25777.609102422517,25785.125,0,0,25770.612934344652,25782.82213255822,25769.473522476274,25778.705681818188,,,,,25769.57224025968,745971
2026-02-04T13:55:00+05:30,25781.36705121126,25788.25,25779.05,25784.4125,0,0,25774.659308081405,25786.517785341843,25774.06380806911,25782.70738636364,,,,,25771.653571428516,837273
2026-02-04T13:56:00+05:30,25782.88977560563,25784.35,25779.25,25781.9125,0,0,25778.68334722251,25788.306619943633,25777.581366389208,25784.938636363655,,,,,25774.22297077917,599672
2026-02-04T13:57:00+05:30,25782.401137802815,25784.45,25778.8,25781.475,0,0,25781.810991793063,25789.254545454547,25780.380742891142,25786.2403409091,,,,,25777.239853896055,452710
2026-02-04T13:58:00+05:30,25781.938068901407,25783.35,25775.45,25780.225,0,0,25784.025666351088,25789.009289147238,25781.096028483993,25786.29943181817,,,,,25780.226298701244,662020
2026-02-04T13:59:00+05:30,25781.081534450703,25781.081534450703,25772.6,25776.637499999997,0,0,,,,,25785.162549084613,25787.694521074292,25780.21813225865,25784.681249999994,25782.476055194744,433325
2026-02-04T14:00:00+05:30,25778.859517225348,25778.859517225348,25762.6,25769.800000000003,0,1,,,,,25784.92189954231,25785.271314136407,25775.715236033288,25780.461363636357,25783.433441558383,641487
2026-02-04T14:01:00+05:30,25774.329758612676,25774.329758612676,25764.6,25766.675000000003,0,0,,,,,25782.691631589343,25780.282867540627,25771.56461253521,25774.520454545447,25782.83555194799,590184
2026-02-04T14:02:00+05:30,25770.502379306337,25770.502379306337,25760.05,25763.9375,0,0,,,,,25778.606043067386,25775.109951397713,25766.011716309862,25768.356250000004,25780.785389610326,622755
2026-02-04T14:03:00+05:30,25767.21993965317,25767.21993965317,25755.25,25760.300000000003,0,0,,,,,25773.481146533697,25770.703878123957,25759.849530937256,25763.036931818202,25777.656574675264,761696
2026-02-04T14:04:00+05:30,25763.759969826584,25770.1,25758.9,25763.524999999998,0,0,,,,,25768.25903917593,25768.35419043087,25756.396486033285,25760.43863636364,25773.970616883053,682133
2026-02-04T14:05:00+05:30,25763.64248491329,25767.55,25763.55,25765.425,0,0,,,,,25764.348837769805,25766.156775465024,25755.993181818187,25759.731818181815,25770.175243506434,535529
2026-02-04T14:06:00+05:30,25764.533742456646,25765.25,25758.7,25762.2,0,0,,,,,25762.04032797582,25764.325269590106,25754.947727272716,25758.76477272727,25766.472889610326,609896
2026-02-04T14:07:00+05:30,25763.366871228325,25764.25,25757.1,25760.45,0,0,,,,,25760.402550351533,25762.511945533373,25754.354545454535,25757.796022727263,25763.234983766168,509937
2026-02-04T14:08:00+05:30,25761.90843561416,25764,25760.7,25762.175000000003,0,0,,,,,25759.099286539415,25761.550894203894,25755.831818181825,25758.272159090902,25760.913798701233,543783
2026-02-04T14:09:00+05:30,25762.041717807082,25767.9,25762.041717807082,25765.087499999998,0,0,25758.685722815146,25762.560297419892,25757.949637484053,25760.324999999975,,,,,25759.766477272653,633187
2026-02-04T14:10:00+05:30,25763.56460890354,25777,25763.56460890354,25771.1375,1,0,25759.505361407584,25766.754979626916,25760.643298598523,25764.33863636363,,,,,25759.95243506486,2244353
2026-02-04T14:11:00+05:30,25767.35105445177,25781.4,25767.35105445177,25778.5875,0,0,25761.921998885602,25772.13118299529,25763.134255619025,25769.72954545454,,,,,25761.27970779213,703282
2026-02-04T14:12:00+05:30,25772.969277225886,25787.65,25772.969277225886,25783.574999999997,0,0,25765.825772170072,25778.556953762483,25767.5605083199,25775.739772727266,,,,,25763.56655844148,770335
2026-02-04T14:13:00+05:30,25778.27213861294,25791.7,25778.27213861294,25788.2125,0,0,25770.78277244866,25784.970008229106,25772.466340679093,25781.9596590909,,,,,25766.880113636285,769234
2026-02-04T14:14:00+05:30,25783.24231930647,25791.15,25783.24231930647,25789.5875,0,0,25776.371215769792,25789.64772727275,25777.252587867468,25786.852272727283,,,,,25771.031006493427,516442
2026-02-04T14:15:00+05:30,25786.414909653235,25797.75,25786.414909653235,25793.6,0,0,25781.61174424852,25795.861363636377,25782.439553834054,25792.27670454545,,,,,25775.88879870122,2510502
2026-02-04T14:16:00+05:30,25790.007454826617,25798.75,25790.007454826617,25796.8125,0,0,25786.944224396993,25800.672727272722,25788.364379189752,25797.70170454544,,,,,25781.228327922003,824688
2026-02-04T14:17:00+05:30,25793.409977413306,25805.25,25793.409977413306,25800.4,0,0,25792.322964471237,25805.715909090915,25793.28739560365,25802.25511363635,,,,,25786.644967532393,989457
2026-02-04T14:18:00+05:30,25796.904988706654,25813.9,25796.904988706654,25807.3125,0,0,25797.289039053805,25811.51136363639,25797.45382572846,25806.953409090907,,,,,25791.962662337588,999391
2026-02-04T14:19:00+05:30,25802.108744353325,25808.9,25802.108744353325,25806.475000000002,0,0,25802.121224072343,25813.413636363628,25802.121224072343,25809.568750000013,,,,,25796.795373376553,831347
2026-02-04T14:20:00+05:30,25804.291872176662,25811.1,25804.291872176662,25808.7125,0,0,25805.844987036173,25814.684090909086,25805.844987036173,25811.411931818173,,,,,25801.002840909023,681027
2026-02-04T14:21:00+05:30,25806.50218608833,25818.55,25806.50218608833,25814.112500000003,0,0,25808.62845942717,25818.015909090933,25808.62845942717,25814.0903409091,,,,,25804.893993506423,1070290
2026-02-04T14:22:00+05:30,25810.307343044165,25816.9,25806.8,25811.85,0,0,25811.35940016813,25819.73409090908,25810.243427381338,25815.45,,,,,25808.204464285645,920605
2026-02-04T14:23:00+05:30,25811.078671522082,25811.078671522082,25804.85,25807.125,0,0,25813.404700084062,25819.122759120663,25810.466301951354,25814.70113636364,,,,,25810.63295454539,762608
2026-02-04T14:24:00+05:30,25809.10183576104,25809.10183576104,25799.75,25803.35,0,0,,,,,25814.05291822385,25817.553858157255,25808.581482102007,25812.523863636354,25812.099918831103,965609
2026-02-04T14:25:00+05:30,25806.225917880518,25806.225917880518,25794.7,25798.0375,0,0,,,,,25813.288390930116,25814.178899879098,25805.01724686116,25808.2181818182,25812.280600649286,853691
2026-02-04T14:26:00+05:30,25802.13170894026,25802.13170894026,25788.35,25793.999999999996,0,1,,,,,25810.753286374147,25810.01596976177,25799.48858801545,25802.973295454536,25811.33839285708,935987
2026-02-04T14:27:00+05:30,25798.06585447013,25798.6,25794.3,25796.6875,0,0,,,,,25806.863290914334,25804.711963666123,25796.418342367357,25799.149431818172,25809.586607142795,724340
2026-02-04T14:28:00+05:30,25797.376677235065,25797.5,25791.4,25795.3375,0,0,,,,,25803.006361366268,25800.24659393411,25792.848894227125,25795.553977272724,25806.93855519474,661886
2026-02-04T14:29:00+05:30,25796.357088617533,25799.75,25794.55,25796.85,0,0,,,,,25799.280169319485,25798.42213329304,25791.008538022656,25793.926704545465,25803.863798701233,673200
2026-02-04T14:30:00+05:30,25796.603544308768,25803.2,25793.15,25797.425000000003,0,0,,,,,25796.60343693247,25797.42949083378,25789.77590960424,25792.80568181818,25800.735876623312,822062
